[".map","stratis",8192,0]
[".class","Land_VR_Shape_01_cube_1m_F","\A3\Structures_F_Mark\VR\Shapes\VR_Shape_01_cube_1m_F.p3d",[[-0.50000000000000000000,-0.50000000000000000000,-0.50000000000000000000],[0.50000000000000000000,0.50000000000000000000,0.50000000000000000000],0.86602538824081420898],[0.00000000000000000000,0.00000000000000000000,0.50000000000000000000],"a3\structures_f_mark\vr\shapes\vr_shape_01_cube_1m_f.p3d",1.00000000000000000000]
[".add","Land_VR_Shape_01_cube_1m_F",[],[3807.68457031250000000000,3702.85571289062500000000,180.59808349609375000000],[-0.19847095012664794922,0.08543103188276290894,0.97637635469436645508],[0.00000000000000000000,0.99619388580322265625,-0.08716502785682678223],[-0.19774521887302398682,0.08544348925352096558,0.97652256488800048828],1.00000000000000000000]
[".add","Land_VR_Shape_01_cube_1m_F",[],[3803.02441406250000000000,3698.00830078125000000000,180.05400085449218750000],[-0.18191428482532501221,0.08571063727140426636,0.97957187891006469727],[0.98331439495086669922,0.01585651934146881104,0.18122188746929168701],[-0.18124490976333618164,0.08572106808423995972,0.97969496250152587891],1.00000000000000000000]
[".add","Land_VR_Shape_01_cube_1m_F",[],[3802.98095703125000000000,3707.80639648437500000000,179.37478637695312500000],[-0.12891592085361480713,0.06185747683048248291,0.98972439765930175781],[-0.99165552854537963867,-0.00804150383919477463,-0.12866486608982086182],[-0.12866938114166259766,0.06185976788401603699,0.98975628614425659180],1.00000000000000000000]
[".add","Land_VR_Shape_01_cube_1m_F",[],[3797.86865234375000000000,3702.86157226562500000000,178.88946533203125000000],[-0.13135142624378204346,0.04950461909174919128,0.99009901285171508789],[-0.00000008666533091173,-0.99875235557556152344,0.04993727058172225952],[-0.13119064271450042725,0.04950525984168052673,0.99012029170989990234],1.00000000000000000000]
[".add","Land_VR_Shape_01_cube_1m_F",[],[3806.34033203125000000000,3699.48974609375000000000,180.60614013671875000000],[-0.20785659551620483398,0.08768014609813690186,0.97422164678573608398],[0.69166314601898193359,0.71743500232696533203,0.08300158381462097168],[-0.20705580711364746094,0.08769531548023223877,0.97439074516296386719],1.00000011920928955078]
[".add","Land_VR_Shape_01_cube_1m_F",[],[3799.44824218750000000000,3699.46997070312500000000,179.26632690429687500000],[-0.15799042582511901855,0.06895233690738677979,0.98503023386001586914],[0.69822597503662109375,-0.69757962226867675781,0.16082021594047546387],[-0.15761429071426391602,0.06895601749420166016,0.98509025573730468750],1.00000011920928955078]
[".add","Land_VR_Shape_01_cube_1m_F",[],[3784.82006835937500000000,3722.33666992187500000000,178.72010803222656250000],[0.01250073965638875961,-0.02998270653188228607,0.99947226047515869141],[0.00000000000000000000,0.99955046176910400391,0.02998505346477031708],[0.01249416638165712357,-0.02998294867575168610,0.99947232007980346680],1.00000000000000000000]
[".add","Land_VR_Shape_01_cube_1m_F",[],[3780.15991210937500000000,3717.48925781250000000000,178.47111511230468750000],[-0.04744672402739524841,-0.10676203668117523193,0.99315190315246582031],[0.99887388944625854492,-0.00507126329466700554,0.04717493057250976563],[-0.04717592522501945496,-0.10676337778568267822,0.99316459894180297852],1.00000000000000000000]
[".add","Land_VR_Shape_01_cube_1m_F",[],[3780.11645507812500000000,3727.28735351562500000000,178.56559753417968750000],[0.01000656280666589737,0.07726731896400451660,0.99696022272109985352],[-0.99994993209838867188,0.00077323085861280560,0.00997664313763380051],[0.00997173413634300232,0.07726763188838958740,0.99696046113967895508],1.00000000000000000000]
[".add","Land_VR_Shape_01_cube_1m_F",[],[3775.00415039062500000000,3722.34252929687500000000,178.59413146972656250000],[-0.02249398827552795410,-0.03247567266225814819,0.99921947717666625977],[-0.00000008740065737811,-0.99947226047515869141,-0.03248389065265655518],[-0.02248152717947959900,-0.03247585892677307129,0.99921965599060058594],1.00000000000000000000]
